path,age_bin,gender,ethnicity,split
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\79791.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\45641.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\40470.jpg,1,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\73091.jpg,4,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\78276.jpg,2,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\38452.jpg,1,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\39759.jpg,1,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\73862.jpg,1,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\37404.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\44776.jpg,2,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\62602.jpg,3,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\3750.jpg,2,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\17049.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\50711.jpg,0,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\64474.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\43814.jpg,2,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\84623.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\42306.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\941.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\13407.jpg,0,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\45251.jpg,0,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\67431.jpg,0,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\56363.jpg,2,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\18144.jpg,2,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\25628.jpg,1,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\30385.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\70159.jpg,2,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\23060.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\86585.jpg,2,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\79154.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\67395.jpg,3,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\63734.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\10493.jpg,0,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\5456.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\49136.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\18618.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\15305.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\57079.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\9326.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\23672.jpg,1,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\69368.jpg,3,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\12912.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\51025.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\36647.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\9042.jpg,1,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\69810.jpg,1,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\28135.jpg,2,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\19515.jpg,1,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\45692.jpg,1,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\59906.jpg,2,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\19461.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\59468.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\29161.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\55532.jpg,2,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\50707.jpg,0,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\64489.jpg,2,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\61865.jpg,1,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\77756.jpg,0,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\1755.jpg,1,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\9527.jpg,0,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\39950.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\43804.jpg,4,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\47681.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\37762.jpg,1,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\57861.jpg,1,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\21064.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\2934.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\10525.jpg,1,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\18225.jpg,2,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\36929.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\27198.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\65155.jpg,1,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\80914.jpg,2,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\76089.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\76060.jpg,1,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\17261.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\42934.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\76882.jpg,1,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\8163.jpg,3,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\41970.jpg,1,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\52464.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\5056.jpg,2,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\5656.jpg,3,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\44773.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\63256.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\17896.jpg,1,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\15908.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\41975.jpg,0,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\59245.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\34646.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\81201.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\83946.jpg,4,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\25170.jpg,1,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\66473.jpg,3,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\43791.jpg,2,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\80052.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\67030.jpg,3,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\19738.jpg,3,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\54438.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\39762.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\20973.jpg,2,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\36243.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\42739.jpg,2,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\17886.jpg,1,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\81213.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\82244.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\59454.jpg,1,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\33102.jpg,1,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\14345.jpg,3,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\43976.jpg,1,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\72016.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\1385.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\18343.jpg,2,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\49684.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\2648.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\46399.jpg,0,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\69226.jpg,2,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\65036.jpg,1,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\3594.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\73719.jpg,1,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\29411.jpg,1,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\33704.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\21289.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\71669.jpg,4,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\61522.jpg,2,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\26093.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\65790.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\19477.jpg,1,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\70762.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\62615.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\54832.jpg,0,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\76892.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\64070.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\32970.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\46831.jpg,1,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\86346.jpg,4,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\40515.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\40311.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\10309.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\25202.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\42881.jpg,1,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\34645.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\25835.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\18626.jpg,2,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\58561.jpg,1,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\79962.jpg,0,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\53811.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\52313.jpg,3,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\8968.jpg,2,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\5085.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\48955.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\69422.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\1631.jpg,1,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\78857.jpg,3,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\82903.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\14988.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\19316.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\7086.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\9444.jpg,1,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\34097.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\67433.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\13389.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\38124.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\34291.jpg,4,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\83361.jpg,3,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\54809.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\46400.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\45241.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\20785.jpg,1,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\82849.jpg,1,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\69193.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\43424.jpg,2,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\41756.jpg,1,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\20209.jpg,3,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\45938.jpg,2,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\42063.jpg,2,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\84988.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\7656.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\9085.jpg,0,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\56373.jpg,2,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\37773.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\58825.jpg,2,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\84769.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\49320.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\70438.jpg,1,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\16568.jpg,1,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\18747.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\21470.jpg,0,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\12109.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\33662.jpg,1,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\67552.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\43579.jpg,0,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\73320.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\27822.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\13570.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\60833.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\10468.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\36125.jpg,1,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\70199.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\17139.jpg,4,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\71242.jpg,1,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\84436.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\53786.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\85728.jpg,1,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\73497.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\75838.jpg,3,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\53393.jpg,2,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\78703.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\26690.jpg,0,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\66539.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\55055.jpg,1,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\24721.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\32829.jpg,1,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\18597.jpg,1,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\22151.jpg,1,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\69807.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\72837.jpg,1,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\19074.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\38905.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\12291.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\46615.jpg,1,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\82326.jpg,1,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\55079.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\29210.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\54173.jpg,0,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\25604.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\3369.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\71860.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\56214.jpg,0,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\76847.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\31716.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\23488.jpg,0,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\84224.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\43623.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\81370.jpg,2,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\9108.jpg,2,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\67546.jpg,1,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\76649.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\75839.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\45690.jpg,0,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\9453.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\64059.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\2077.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\66110.jpg,1,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\21712.jpg,2,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\83159.jpg,2,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\59734.jpg,2,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\403.jpg,1,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\55068.jpg,1,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\64110.jpg,1,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\85059.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\84383.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\65999.jpg,0,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\38848.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\1806.jpg,2,1,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\49900.jpg,3,1,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\53021.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\31924.jpg,0,0,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\75631.jpg,0,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\16354.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\46216.jpg,1,1,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\16553.jpg,4,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\24526.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\36720.jpg,4,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\56405.jpg,2,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\83788.jpg,0,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\77384.jpg,4,0,1,train
